,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B7_G255,317,260,423,,,,0.305,0.321,24.39132351,0.0008,0.0008,0.073173971,0.0003,0.0003,,
B7_G191,458,446,451,,,,0.305,0.321,12.91577222,0.0008,0.0008,0.038747317,0.0003,0.0003,,
B7_G127,438,418,430,,,,0.305,0.321,5.262779272,0.0011,0.0011,0.015788338,0.0003,0.0003,,
B7_G95,467,450,460,,,,0.305,0.321,2.778682341,0.0022,0.0022,0.011114729,0.0003,0.0003,,
B7_G63,406,371,393,,,,0.305,0.321,1.125631345,0.0022,0.0022,0.004502525,0.0003,0.0003,,
B7_G47,463,442,454,,,,0.305,0.321,0.590829616,0.0022,0.0022,0.002954148,0.0003,0.0003,,
B7_G31,393,353,384,,,,0.299,0.321,0.23650629,0.0022,0.0022,0.001655544,0.0003,0.0003,,
B7_G23,451,437,456,,,,0.299,0.321,0.122644537,0.0022,0.0022,0.000858512,0.0003,0.0003,,
B7_G15,353,362,405,,,,0.29,0.326,0.04789032,0.003,0.003,0.000957806,0.0003,0.0003,,
B7_G11,297,417,453,,,,0.28,0.331,0.024205323,0.006,0.006,0.000484106,0.0003,0.0003,,
B7_G4,350,463,460,,,,0.27,0.341,0.002614442,1,1,900,0.0003,0.0003,,
B8_G255,318,260,427,,,,0.305,0.321,12.19566175,0.0008,0.0008,0.036586985,0.0003,0.0003,,
B8_G191,458,445,453,,,,0.305,0.321,6.457886111,0.0011,0.0011,0.019373658,0.0003,0.0003,,
B8_G127,437,408,429,,,,0.305,0.321,2.631389636,0.0022,0.0022,0.010525559,0.0003,0.0003,,
B8_G95,462,445,459,,,,0.305,0.321,1.38934117,0.0022,0.0022,0.005557365,0.0003,0.0003,,
B8_G63,400,359,390,,,,0.305,0.321,0.562815672,0.0022,0.0022,0.002814078,0.0003,0.0003,,
B8_G47,456,436,452,,,,0.299,0.321,0.295414808,0.0022,0.0022,0.002067904,0.0003,0.0003,,
B8_G31,385,342,387,,,,0.299,0.321,0.118253145,0.0025,0.0025,0.000827772,0.0003,0.0003,,
B8_G23,431,439,465,,,,0.29,0.326,0.061322269,0.0025,0.0025,0.000613223,0.0003,0.0003,,
B8_G15,313,371,427,,,,0.28,0.331,0.02394516,0.00405,0.00405,0.000478903,0.0003,0.0003,,
B8_G7,266,365,459,,,,0.27,0.341,0.00447747,1,1,900,0.0003,0.0003,,
B8_G4,350,463,460,,,,0.27,0.341,0.001307221,1,1,900,0.0003,0.0003,,
B9_G255,321,260,431,,,,0.305,0.321,8.618126613,0.0008,0.0008,0.02585438,0.0003,0.0003,,
B9_G191,457,443,454,,,,0.305,0.321,4.563498175,0.001485,0.001485,0.018253993,0.0003,0.0003,,
B9_G127,436,405,430,,,,0.305,0.321,1.859484914,0.0022,0.0022,0.00743794,0.0003,0.0003,,
B9_G95,461,444,457,,,,0.305,0.321,0.981785028,0.0022,0.0022,0.004908925,0.0003,0.0003,,
B9_G63,400,358,387,,,,0.305,0.321,0.397716567,0.0022,0.0022,0.002386299,0.0003,0.0003,,
B9_G47,454,435,455,,,,0.299,0.321,0.208756382,0.0022,0.0022,0.001461295,0.0003,0.0003,,
B9_G31,370,350,396,,,,0.29,0.326,0.083564188,0.0025,0.0025,0.000835642,0.0003,0.0003,,
B9_G23,436,445,472,,,,0.29,0.326,0.043333694,0.003,0.003,0.000866674,0.0003,0.0003,,
B9_G15,316,387,442,,,,0.28,0.331,0.01692097,0.006,0.006,0.000338419,0.0003,0.0003,,
B9_G7,266,365,459,,,,0.27,0.341,0.003164027,1,1,900,0.0003,0.0003,,
B9_G4,350,463,460,,,,0.27,0.341,0.000923754,1,1,900,0.0003,0.0003,,
B10_G255,324,260,439,,,,0.305,0.321,5.019346173,0.0012,0.0012,0.015058039,0.0003,0.0003,,
B10_G191,455,438,454,,,,0.305,0.321,2.65786036,0.0022,0.0022,0.010631441,0.0003,0.0003,,
B10_G127,435,403,428,,,,0.305,0.321,1.082996213,0.0022,0.0022,0.004331985,0.0003,0.0003,,
B10_G95,461,442,456,,,,0.305,0.321,0.571808601,0.0022,0.0022,0.002859043,0.0003,0.0003,,
