,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B7_G4,350,463,460,,,,0.27,0.341,0.002614,1,1,1000,0.0003,0.0003,,
B8_G255,318,260,427,,,,0.305,0.321,12.2,0.001,0.001,0.1464,0.0003,0.0003,,
B8_G191,458,445,453,,,,0.305,0.321,6.457886,0.0011,0.0011,0.039714242,0.0003,0.0003,,
B8_G127,437,408,429,,,,0.305,0.321,2.63139,0.0022,0.0022,0.01618233,0.0003,0.0003,,
B8_G95,462,445,459,,,,0.305,0.321,1.389341,0.0022,0.0022,0.00854407,0.0003,0.0003,,
B8_G63,400,359,390,,,,0.305,0.321,0.562816,0.0022,0.0022,0.006922326,0.0003,0.0003,,
B8_G47,456,436,452,,,,0.299,0.321,0.295415,0.0022,0.0022,0.003633441,0.0003,0.0003,,
B8_G31,385,342,387,,,,0.299,0.321,0.118253,0.0025,0.0025,0.001454449,0.0003,0.0003,,
B8_G23,431,439,465,,,,0.29,0.326,0.061322,0.0025,0.0025,0.000754231,0.0003,0.0003,,
B8_G15,313,371,427,,,,0.28,0.331,0.023945,0.006,0.006,0.001767075,0.0003,0.0003,,
B8_G7,266,365,459,,,,0.27,0.341,0.004477,1,1,1000,0.0003,0.0003,,
B8_G4,350,463,460,,,,0.27,0.341,0.001307,1,1,1000,0.0003,0.0003,,
B9_G255,321,260,431,,,,0.305,0.321,8.62,0.0012,0.0012,0.1293,0.0003,0.0003,,
B9_G191,457,443,454,,,,0.305,0.321,4.563498,0.0022,0.0022,0.027799969,0.0003,0.0003,,
B9_G127,436,405,430,,,,0.305,0.321,1.859485,0.0022,0.0022,0.011327631,0.0003,0.0003,,
B9_G95,461,444,457,,,,0.305,0.321,0.981785,0.0022,0.0022,0.005980849,0.0003,0.0003,,
B9_G63,400,358,387,,,,0.305,0.321,0.397717,0.0022,0.0022,0.004845628,0.0003,0.0003,,
B9_G47,454,435,455,,,,0.299,0.321,0.208756,0.0022,0.0022,0.002543409,0.0003,0.0003,,
B9_G31,370,350,396,,,,0.29,0.326,0.083564,0.0025,0.0025,0.001018115,0.0003,0.0003,,
B9_G23,436,445,472,,,,0.29,0.326,0.043334,0.003,0.003,0.001055923,0.0003,0.0003,,
B9_G15,316,387,442,,,,0.28,0.331,0.016921,0.006,0.006,0.001236952,0.0003,0.0003,,
B9_G7,266,365,459,,,,0.27,0.341,0.003164,1,1,1000,0.0003,0.0003,,
B9_G4,350,463,460,,,,0.27,0.341,0.000924,1,1,1000,0.0003,0.0003,,
B10_G255,324,260,439,,,,0.305,0.321,5.02,0.0022,0.0022,0.06024,0.0003,0.0003,,
B10_G191,455,438,454,,,,0.305,0.321,2.65786,0.0022,0.0022,0.015885697,0.0003,0.0003,,
B10_G127,435,403,428,,,,0.305,0.321,1.082996,0.0022,0.0022,0.006472932,0.0003,0.0003,,
B10_G95,461,442,456,,,,0.305,0.321,0.571809,0.0022,0.0022,0.006835256,0.0003,0.0003,,
B10_G63,396,357,389,,,,0.299,0.321,0.231637,0.0022,0.0022,0.002768931,0.0003,0.0003,,
B10_G47,453,439,461,,,,0.299,0.321,0.121583,0.0025,0.0025,0.001453377,0.0003,0.0003,,
B10_G31,359,364,413,,,,0.29,0.326,0.048669,0.003,0.003,0.001163559,0.0003,0.0003,,
B10_G23,413,465,485,,,,0.28,0.331,0.025238,0.003,0.003,0.000603384,0.0003,0.0003,,
B10_G20,325,421,459,,,,0.28,0.331,0.009856349,1,1,1000,0.0003,0.0003,,
B10_G7,266,365,459,,,,0.27,0.341,0.001843,1,1,1000,0.0003,0.0003,,
B10_G4,350,463,460,,,,0.27,0.341,0.000538,1,1,1000,0.0003,0.0003,,
B11_G255,327,260,455,,,,0.3,0.321,2.56,0.0022,0.0022,0.03072,0.0003,0.0003,,
B11_G191,461,432,454,,,,0.305,0.321,1.354711,0.0022,0.0022,0.007942848,0.0003,0.0003,,
B11_G127,429,402,423,,,,0.305,0.321,0.552003,0.0022,0.0022,0.006472932,0.0003,0.0003,,
B11_G95,460,442,457,,,,0.299,0.321,0.291451,0.0022,0.0022,0.003417628,0.0003,0.0003,,
B11_G63,390,359,398,,,,0.299,0.321,0.118065,0.0025,0.0025,0.001384465,0.0003,0.0003,,
B11_G47,440,454,474,,,,0.29,0.326,0.061971,0.003,0.003,0.000726688,0.0003,0.0003,,
B11_G31,338,394,441,,,,0.283,0.326,0.024807,0.006,0.006,0.001745339,0.0003,0.0003,,
B11_G25,432,474,492,,,,0.283,0.326,0.015454,0.006,0.006,0.001087307,0.0003,0.0003,,
B11_G20,303,382,466,,,,0.283,0.326,0.009459,1,1,1000,0.0003,0.0003,,
B11_G7,266,365,459,,,,0.27,0.341,0.000939,1,1,1000,0.0003,0.0003,,
B11_G4,350,463,460,,,,0.27,0.341,0.000274,1,1,1000,0.0003,0.0003,,
A0_G255,140,79,222,,,,0.305,0.325,61.5,0.0008,0.0008,0.45,0.0003,0.0003,,
A0_G191,446,442,450,,,,0.305,0.321,31.77139,0.0008,0.0008,0.23828545,0.0003,0.0003,,
A0_G127,424,414,427,,,,0.305,0.321,12.94586,0.0008,0.0008,0.09709398,0.0003,0.0003,,
A0_G95,457,449,459,,,,0.305,0.321,6.835256,0.0011,0.0011,0.05126442,0.0003,0.0003,,
A0_G63,388,370,390,,,,0.305,0.321,2.768931,0.0022,0.0022,0.020766979,0.0003,0.0003,,
A0_G47,453,440,451,,,,0.305,0.321,1.453377,0.0022,0.0022,0.010900324,0.0003,0.0003,,
A0_G31,381,354,373,,,,0.305,0.321,0.58178,0.0022,0.0022,0.004363348,0.0003,0.0003,,
A0_G23,445,425,438,,,,0.305,0.321,0.301692,0.0022,0.0022,0.004525383,0.0003,0.0003,,
A0_G15,361,341,365,,,,0.305,0.321,0.117805,0.0022,0.0022,0.001767075,0.0003,0.0003,,
A0_G7,324,403,406,,,,0.305,0.321,0.022028,0.003,0.003,0.000660845,0.0003,0.0003,,
A0_G4,411,416,411,,,,0.305,0.321,0.006431,1,1,1000,0.0003,0.0003,,
A1_G255,155,84,247,,,,0.305,0.321,15,0.0008,0.0008,0.1125,0.0003,0.0003,,
A1_G191,448,437,450,,,,0.305,0.321,7.942848,0.0008,0.0008,0.059571363,0.0003,0.0003,,
A1_G127,417,405,419,,,,0.305,0.321,3.236466,0.0022,0.0022,0.024273495,0.0003,0.0003,,
A1_G95,454,441,452,,,,0.305,0.321,1.708814,0.0022,0.0022,0.012816105,0.0003,0.0003,,
A1_G63,386,355,377,,,,0.305,0.321,0.692233,0.0022,0.0022,0.005191745,0.0003,0.0003,,
A1_G47,449,435,445,,,,0.305,0.321,0.363344,0.0022,0.0022,0.005450162,0.0003,0.0003,,
A1_G31,371,350,372,,,,0.305,0.321,0.145445,0.0022,0.0022,0.002181674,0.0003,0.0003,,
A1_G23,435,440,454,,,,0.305,0.321,0.075423,0.0025,0.0025,0.001131346,0.0003,0.0003,,
A1_G15,337,388,400,,,,0.305,0.321,0.029451,0.003,0.003,0.000883537,0.0003,0.0003,,
A1_G7,324,403,406,,,,0.305,0.321,0.005507,1,1,1000,0.0003,0.0003,,
A1_G4,411,416,411,,,,0.305,0.321,0.001608,1,1,1000,0.0003,0.0003,,
A2_G255,128,47,218,,,,0.305,0.321,5,0.0011,0.0011,0.0375,0.0003,0.0003,,
A2_G191,442,431,444,,,,0.305,0.321,2.647616,0.0022,0.0022,0.019857121,0.0003,0.0003,,
A2_G127,418,394,414,,,,0.305,0.321,1.078822,0.0022,0.0022,0.008091165,0.0003,0.0003,,
A2_G95,451,436,445,,,,0.305,0.321,0.569605,0.0022,0.0022,0.004272035,0.0003,0.0003,,
A2_G63,379,347,367,,,,0.305,0.321,0.230744,0.0022,0.0022,0.003461163,0.0003,0.0003,,
A2_G47,441,440,454,,,,0.305,0.321,0.121115,0.0022,0.0022,0.001816721,0.0003,0.0003,,
A2_G31,358,377,397,,,,0.305,0.321,0.048482,0.003,0.003,0.000727225,0.0003,0.0003,,
A2_G23,422,467,467,,,,0.305,0.321,0.025141,0.003,0.003,0.000754231,0.0003,0.0003,,
A2_G20,352,444,435,,,,0.305,0.321,0.018486,0.006,0.006,0.001663758,0.0003,0.0003,,
A2_G7,324,403,406,,,,0.305,0.321,0.001836,1,1,1000,0.0003,0.0003,,
A2_G4,411,416,411,,,,0.305,0.321,0.000536,1,1,1000,0.0003,0.0003,,
